Time,Angle
05/07/2017 07:37:19,-58.35900116
05/07/2017 07:38:18,-57.64500046
05/07/2017 07:38:43,-57.47399902
05/07/2017 07:39:07,-57.88800049
05/07/2017 07:40:06,-57.20199966
05/07/2017 07:40:31,-57.03099823
05/07/2017 07:40:55,-57.44400024
05/07/2017 07:41:54,-56.74100113
05/07/2017 07:42:19,-56.56900024
05/07/2017 07:42:42,-56.98199844
05/07/2017 07:43:42,-56.27500153
05/07/2017 07:44:06,-56.09799957
05/07/2017 07:44:30,-56.52199936
05/07/2017 07:45:30,-55.81299973
05/07/2017 07:45:55,-55.62799835
05/07/2017 07:46:18,-56.06100082
05/07/2017 07:46:49,-55.40399933
05/07/2017 07:47:12,-55.82500076
05/07/2017 07:48:12,-55.11600113
05/07/2017 07:48:37,-54.93700027
05/07/2017 07:49:01,-55.3730011
05/07/2017 07:49:42,-55.13199997
05/07/2017 07:49:54,-55.12799835
05/07/2017 07:50:54,-54.42399979
05/07/2017 07:51:19,-54.23400116
05/07/2017 07:51:42,-54.67200089
05/07/2017 07:52:12,-54.00299835
05/07/2017 07:52:36,-54.44300079
05/07/2017 07:53:12,-54.20800018
05/07/2017 07:53:30,-54.2140007
05/07/2017 07:54:00,-53.52600098
05/07/2017 07:54:24,-53.98400116
05/07/2017 07:55:00,-53.75
05/07/2017 07:55:18,-53.75600052
05/07/2017 07:55:48,-53.06800079
05/07/2017 07:56:12,-53.52299881
05/07/2017 07:56:42,-52.83100128
05/07/2017 07:57:06,-53.30199814
05/07/2017 07:57:36,-52.59899902
05/07/2017 07:58:00,-53.06399918
05/07/2017 07:58:54,-52.81700134
05/07/2017 07:59:24,-52.10200119
05/07/2017 07:59:48,-52.59700012
05/07/2017 08:00:18,-51.88000107
05/07/2017 08:00:42,-52.36000061
05/07/2017 08:01:12,-51.65200043
05/07/2017 08:01:42,-52.12200165
05/07/2017 08:02:06,-51.41899872
05/07/2017 08:02:36,-51.88899994
05/07/2017 08:03:00,-51.19900131
05/07/2017 08:03:30,-51.67100143
