Time,Angle
05/06/2017 07:45:20,-55.82600021
05/06/2017 07:45:44,-56.20199966
05/06/2017 07:46:38,-55.9620018
05/06/2017 07:47:38,-55.28499985
05/06/2017 07:48:02,-55.13299942
05/06/2017 07:48:26,-55.50299835
05/06/2017 07:49:26,-54.82799911
05/06/2017 07:49:50,-54.66500092
05/06/2017 07:50:14,-55.04100037
05/06/2017 07:51:14,-54.36100006
05/06/2017 07:51:38,-54.18000031
05/06/2017 07:52:01,-54.5909996
05/06/2017 07:53:02,-53.89500046
05/06/2017 07:53:26,-53.70299911
05/06/2017 07:53:49,-54.12599945
05/06/2017 07:54:20,-53.47499847
05/06/2017 07:54:44,-53.90800095
05/06/2017 07:55:44,-53.18999863
05/06/2017 07:56:08,-53
05/06/2017 07:56:32,-53.41899872
05/06/2017 07:57:31,-52.72800064
05/06/2017 07:57:56,-52.54100037
05/06/2017 07:58:20,-52.97399902
05/06/2017 07:58:50,-52.31499863
05/06/2017 07:59:13,-52.7519989
05/06/2017 07:59:44,-52.07699966
05/06/2017 08:00:07,-52.52399826
05/06/2017 08:00:38,-51.84500122
05/06/2017 08:01:02,-52.29299927
05/06/2017 08:01:32,-51.61800003
05/06/2017 08:01:56,-52.06600189
05/06/2017 08:02:56,-51.34500122
05/06/2017 08:03:20,-51.15999985
05/06/2017 08:03:43,-51.59700012
05/06/2017 08:04:44,-51.34600067
05/06/2017 08:05:08,-50.66400146
05/06/2017 08:05:38,-51.13800049
05/06/2017 08:06:02,-50.44499969
05/06/2017 08:06:32,-50.89699936
05/06/2017 08:06:56,-50.21300125
05/06/2017 08:07:26,-50.65200043
05/06/2017 08:08:20,-50.41999817
05/06/2017 08:08:50,-49.72100067
05/06/2017 08:09:14,-50.19200134
05/06/2017 08:09:44,-49.49700165
05/06/2017 08:10:08,-49.96300125
05/06/2017 08:10:50,-49.72499847
05/06/2017 08:11:02,-49.73699951
05/06/2017 08:12:02,-49.49399948
05/06/2017 08:12:26,-48.77799988
05/06/2017 08:12:55,-49.27700043
05/06/2017 08:13:20,-48.56499863
05/06/2017 08:13:49,-49.05099869
05/06/2017 08:14:14,-48.35100174
05/06/2017 08:14:43,-48.81800079
05/06/2017 08:15:08,-48.10100174
05/06/2017 08:15:37,-48.56200027
05/06/2017 08:16:08,-47.84700012
05/06/2017 08:16:31,-48.33100128
05/06/2017 08:17:02,-47.60699844
05/06/2017 08:17:26,-48.11899948
05/06/2017 08:17:56,-47.39199829
05/06/2017 08:18:20,-47.88499832
05/06/2017 08:18:50,-47.16600037
05/06/2017 08:19:14,-47.65800095
05/06/2017 08:19:44,-46.89099884
05/06/2017 08:20:13,-47.39799881
05/06/2017 08:20:44,-46.63999939
05/06/2017 08:21:07,-47.17900085
05/06/2017 08:21:38,-46.45899963
05/06/2017 08:22:01,-46.95800018
05/06/2017 08:22:32,-46.22900009
05/06/2017 08:22:55,-46.70899963
05/06/2017 08:23:26,-45.97900009
05/06/2017 08:23:55,-46.47700119
05/06/2017 08:24:20,-45.68600082
05/06/2017 08:24:49,-46.23799896
05/06/2017 08:25:14,-45.52700043
05/06/2017 08:25:43,-46.00899887
05/06/2017 08:26:08,-45.24900055
05/06/2017 08:26:37,-45.79299927
05/06/2017 08:27:02,-45.0019989
05/06/2017 08:27:37,-45.52000046
05/06/2017 08:28:02,-44.73199844
05/06/2017 08:28:32,-45.27700043
05/06/2017 08:29:01,-44.49399948
05/06/2017 08:29:25,-45.05199814
05/06/2017 08:29:56,-44.2879982
05/06/2017 08:30:25,-44.80599976
05/06/2017 08:30:50,-44.06900024
05/06/2017 08:31:19,-44.56000137
05/06/2017 08:31:50,-43.77299881
05/06/2017 08:32:19,-44.32600021
05/06/2017 08:32:44,-43.55699921
05/06/2017 08:33:13,-44.09000015
05/06/2017 08:33:38,-43.33200073
05/06/2017 08:34:07,-43.86299896
05/06/2017 08:34:32,-43.11199951
05/06/2017 08:35:07,-43.60400009
05/06/2017 08:35:32,-42.8370018
05/06/2017 08:36:02,-43.3730011
05/06/2017 08:36:19,-42.56900024
05/06/2017 08:36:32,-42.56800079
05/06/2017 08:36:55,-43.13600159
05/06/2017 08:37:26,-42.35800171
05/06/2017 08:37:49,-42.89400101
05/06/2017 08:38:20,-42.13499832
05/06/2017 08:38:49,-42.63600159
05/06/2017 08:39:20,-41.85800171
05/06/2017 08:39:49,-42.40299988
05/06/2017 08:40:20,-41.63000107
05/06/2017 08:40:43,-42.18000031
05/06/2017 08:41:14,-41.40200043
05/06/2017 08:41:43,-41.92300034
05/06/2017 08:42:08,-41.14199829
05/06/2017 08:42:43,-41.66600037
05/06/2017 08:43:08,-40.8769989
05/06/2017 08:43:38,-41.43099976
05/06/2017 08:43:43,-40.88000107
05/06/2017 08:44:08,-40.6230011
05/06/2017 08:44:31,-41.19499969
05/06/2017 08:45:02,-40.41400146
05/06/2017 08:45:25,-40.9679985
05/06/2017 08:45:32,-40.41600037
05/06/2017 08:45:56,-40.16999817
05/06/2017 08:46:31,-40.70299911
05/06/2017 08:46:56,-39.88000107
05/06/2017 08:47:25,-40.45600128
05/06/2017 08:47:31,-39.90200043
05/06/2017 08:47:56,-39.62599945
05/06/2017 08:48:25,-40.21900177
05/06/2017 08:48:50,-39.37400055
05/06/2017 08:49:25,-39.95999908
05/06/2017 08:49:50,-39.10900116
05/06/2017 08:50:25,-39.70500183
05/06/2017 08:50:50,-38.87200165
05/06/2017 08:51:19,-39.45600128
05/06/2017 08:51:25,-38.89899826
05/06/2017 08:51:50,-38.63299942
05/06/2017 08:52:13,-39.23400116
05/06/2017 08:52:44,-38.4129982
05/06/2017 08:53:13,-38.98300171
05/06/2017 08:53:38,-38.19599915
05/06/2017 08:54:07,-38.73899841
05/06/2017 08:54:13,-38.17699814
05/06/2017 08:54:38,-37.91600037
05/06/2017 08:55:07,-38.51200104
05/06/2017 08:55:32,-37.66699982
05/06/2017 08:56:01,-38.26399994
05/06/2017 08:56:26,-37.4090004
05/06/2017 08:56:56,-38.04199982
05/06/2017 08:57:20,-37.18500137
05/06/2017 08:57:49,-37.78499985
05/06/2017 08:58:20,-36.97499847
05/06/2017 08:58:49,-37.55099869
05/06/2017 08:59:14,-36.69900131
05/06/2017 08:59:43,-37.3219986
05/06/2017 09:00:08,-36.49499893
05/06/2017 09:00:43,-37.08300018
05/06/2017 09:01:08,-36.2480011
05/06/2017 09:01:43,-36.81200027
05/06/2017 09:02:08,-35.99200058
