Time,Angle
04/17/2017 07:11:23,-64.50099945
04/17/2017 07:11:59,-64.90200043
04/17/2017 07:12:23,-64.37799835
04/17/2017 07:12:53,-64.68800354
04/17/2017 07:14:53,-64.16100311
04/17/2017 07:15:59,-63.89400101
04/17/2017 07:17:59,-63.39300156
04/17/2017 07:18:23,-62.70999908
04/17/2017 07:18:59,-63.13499832
04/17/2017 07:20:59,-62.6230011
04/17/2017 07:22:11,-61.9640007
04/17/2017 07:24:05,-61.85100174
04/17/2017 07:25:11,-61.59000015
04/17/2017 07:27:11,-61.06600189
04/17/2017 07:28:17,-60.32400131
04/17/2017 07:30:17,-60.31900024
04/17/2017 07:30:41,-59.62599945
04/17/2017 07:31:23,-60.03499985
04/17/2017 07:33:23,-59.51100159
04/17/2017 07:34:29,-59.25699997
04/17/2017 07:34:53,-58.71500015
04/17/2017 07:35:23,-59.01699829
04/17/2017 07:35:47,-58.49499893
04/17/2017 07:36:17,-58.80799866
04/17/2017 07:38:17,-58.29000092
04/17/2017 07:38:41,-57.60800171
04/17/2017 07:39:17,-58.02500153
04/17/2017 07:41:23,-57.4980011
04/17/2017 07:41:47,-56.84899902
04/17/2017 07:42:23,-57.24499893
04/17/2017 07:43:23,-56.6269989
04/17/2017 07:43:47,-56.48400116
04/17/2017 07:44:11,-56.8030014
04/17/2017 07:45:11,-56.58300018
04/17/2017 07:45:35,-56.02199936
04/17/2017 07:46:05,-56.33599854
04/17/2017 07:46:29,-55.76800156
04/17/2017 07:46:59,-56.09799957
04/17/2017 07:47:23,-55.55400085
04/17/2017 07:47:53,-55.8769989
04/17/2017 07:48:17,-55.33300018
04/17/2017 07:48:47,-55.65999985
04/17/2017 07:49:11,-55.10100174
04/17/2017 07:49:41,-55.44200134
04/17/2017 07:50:05,-54.84899902
04/17/2017 07:50:35,-55.20999908
04/17/2017 07:50:59,-54.62900162
04/17/2017 07:51:29,-54.98300171
04/17/2017 07:51:53,-54.40399933
04/17/2017 07:52:23,-54.76300049
04/17/2017 07:52:47,-54.17399979
04/17/2017 07:53:17,-54.52600098
04/17/2017 07:53:41,-53.9280014
04/17/2017 07:54:11,-54.29999924
04/17/2017 07:54:41,-53.68700027
04/17/2017 07:55:05,-54.05500031
04/17/2017 07:56:05,-53.39899826
04/17/2017 07:56:29,-53.23600006
04/17/2017 07:56:59,-53.59199905
04/17/2017 07:57:23,-52.97100067
04/17/2017 07:57:53,-53.35499954
04/17/2017 07:58:17,-52.72700119
04/17/2017 07:58:47,-53.13700104
04/17/2017 07:59:11,-52.50600052
04/17/2017 07:59:41,-52.90299988
04/17/2017 08:00:05,-52.27799988
04/17/2017 08:00:35,-52.6780014
04/17/2017 08:00:59,-52.04999924
04/17/2017 08:01:29,-52.43500137
04/17/2017 08:01:53,-51.80899811
04/17/2017 08:02:23,-52.22499847
04/17/2017 08:02:53,-51.5909996
04/17/2017 08:03:17,-51.99000168
04/17/2017 08:04:17,-51.29700089
04/17/2017 08:04:41,-51.13499832
04/17/2017 08:05:11,-51.52799988
04/17/2017 08:05:41,-50.86199951
04/17/2017 08:06:05,-51.27099991
04/17/2017 08:07:05,-51.04199982
04/17/2017 08:07:29,-50.39199829
04/17/2017 08:07:59,-50.80099869
04/17/2017 08:08:23,-50.17200089
04/17/2017 08:08:53,-50.58000183
04/17/2017 08:09:17,-49.92599869
04/17/2017 08:09:47,-50.35300064
04/17/2017 08:10:11,-49.68199921
04/17/2017 08:10:41,-50.13299942
04/17/2017 08:11:05,-49.48199844
04/17/2017 08:11:35,-49.9090004
04/17/2017 08:12:05,-49.26200104
04/17/2017 08:12:29,-49.68199921
04/17/2017 08:13:05,-49.42599869
04/17/2017 08:13:23,-49.43799973
04/17/2017 08:14:23,-48.72499847
04/17/2017 08:14:47,-48.55899811
04/17/2017 08:15:11,-48.97100067
04/17/2017 08:15:41,-48.32899857
04/17/2017 08:16:05,-48.76100159
04/17/2017 08:17:05,-48.04000092
04/17/2017 08:17:29,-47.85699844
04/17/2017 08:17:53,-48.29499817
04/17/2017 08:18:23,-47.61800003
04/17/2017 08:18:47,-48.08100128
04/17/2017 08:19:29,-47.84500122
04/17/2017 08:19:41,-47.84500122
04/17/2017 08:20:41,-47.12599945
04/17/2017 08:21:05,-46.93600082
04/17/2017 08:21:29,-47.39099884
04/17/2017 08:22:05,-47.06700134
04/17/2017 08:22:29,-47.15499878
04/17/2017 08:22:53,-46.49000168
04/17/2017 08:23:23,-46.91899872
04/17/2017 08:23:47,-46.25500107
04/17/2017 08:24:17,-46.69400024
04/17/2017 08:24:41,-46.00999832
04/17/2017 08:25:11,-46.46099854
04/17/2017 08:25:35,-45.77299881
04/17/2017 08:26:05,-46.22299957
04/17/2017 08:26:29,-45.54899979
04/17/2017 08:26:59,-46.00400162
04/17/2017 08:27:23,-45.33200073
04/17/2017 08:27:53,-45.78699875
04/17/2017 08:28:17,-45.07899857
04/17/2017 08:28:47,-45.54299927
04/17/2017 08:29:11,-44.84600067
04/17/2017 08:29:41,-45.31900024
04/17/2017 08:30:11,-44.60400009
04/17/2017 08:30:41,-45.07699966
04/17/2017 08:31:05,-44.36899948
04/17/2017 08:31:35,-44.85599899
04/17/2017 08:31:59,-44.16899872
04/17/2017 08:32:29,-44.59999847
04/17/2017 08:32:53,-43.89099884
04/17/2017 08:33:23,-44.37400055
04/17/2017 08:33:47,-43.64599991
04/17/2017 08:34:17,-44.13899994
04/17/2017 08:34:47,-43.4469986
04/17/2017 08:35:11,-43.92399979
04/17/2017 08:35:41,-43.22800064
04/17/2017 08:36:05,-43.69499969
04/17/2017 08:36:41,-43.44200134
04/17/2017 08:37:05,-43.44800186
04/17/2017 08:37:29,-42.70999908
04/17/2017 08:37:59,-43.22800064
04/17/2017 08:38:23,-42.52199936
04/17/2017 08:38:53,-43.00299835
04/17/2017 08:39:17,-42.30699921
04/17/2017 08:39:47,-42.78699875
04/17/2017 08:40:11,-42.05899811
04/17/2017 08:40:41,-42.5340004
04/17/2017 08:41:05,-41.8030014
04/17/2017 08:41:35,-42.31499863
04/17/2017 08:41:59,-41.58200073
04/17/2017 08:42:29,-42.06999969
