"data","valor"
17/04/2017 06:51:59,"-69,5419998168945"
17/04/2017 06:53:59,"-69,4130020141602"
17/04/2017 06:54:23,"-68,7399978637695"
17/04/2017 06:54:59,"-69,1510009765625"
17/04/2017 06:55:59,"-68,5329971313477"
17/04/2017 06:56:23,"-68,390998840332"
17/04/2017 06:56:47,"-68,7170028686523"
17/04/2017 06:58:53,"-68,1809997558594"
17/04/2017 06:59:17,"-67,4990005493164"
17/04/2017 06:59:59,"-67,9130020141602"
17/04/2017 07:00:59,"-67,2900009155273"
17/04/2017 07:02:59,"-67,1589965820313"
17/04/2017 07:03:23,"-66,4680023193359"
17/04/2017 07:03:59,"-66,8899993896484"
17/04/2017 07:04:59,"-66,2890014648437"
17/04/2017 07:06:59,"-66,1510009765625"
17/04/2017 07:07:23,"-65,4649963378906"
17/04/2017 07:07:59,"-65,879997253418"
17/04/2017 07:08:59,"-65,2890014648438"
17/04/2017 07:10:59,"-65,1490020751953"
17/04/2017 07:11:23,"-64,5009994506836"
17/04/2017 07:11:59,"-64,9020004272461"
17/04/2017 07:12:23,"-64,3779983520508"
17/04/2017 07:12:53,"-64,6880035400391"
17/04/2017 07:14:53,"-64,161003112793"
17/04/2017 07:15:59,"-63,8940010070801"
17/04/2017 07:17:59,"-63,3930015563965"
17/04/2017 07:18:23,"-62,7099990844727"
17/04/2017 07:18:59,"-63,1349983215332"
17/04/2017 07:20:59,"-62,6230010986328"
17/04/2017 07:22:11,"-61,9640007019043"
17/04/2017 07:24:05,"-61,851001739502"
17/04/2017 07:25:11,"-61,5900001525879"
17/04/2017 07:27:11,"-61,0660018920899"
17/04/2017 07:28:17,"-60,3240013122559"
17/04/2017 07:30:17,"-60,3190002441406"
17/04/2017 07:30:41,"-59,6259994506836"
17/04/2017 07:31:23,"-60,0349998474121"
17/04/2017 07:33:23,"-59,5110015869141"
17/04/2017 07:34:29,"-59,2569999694824"
17/04/2017 07:34:53,"-58,7150001525879"
17/04/2017 07:35:23,"-59,0169982910156"
17/04/2017 07:35:47,"-58,4949989318848"
17/04/2017 07:36:17,"-58,8079986572266"
17/04/2017 07:38:17,"-58,2900009155273"
17/04/2017 07:38:41,"-57,6080017089844"
17/04/2017 07:39:17,"-58,0250015258789"
17/04/2017 07:41:23,"-57,4980010986328"
17/04/2017 07:41:47,"-56,8489990234375"
17/04/2017 07:42:23,"-57,2449989318848"
17/04/2017 07:43:23,"-56,6269989013672"
17/04/2017 07:43:47,"-56,484001159668"
17/04/2017 07:44:11,"-56,8030014038086"
17/04/2017 07:45:11,"-56,5830001831055"
17/04/2017 07:45:35,"-56,0219993591309"
17/04/2017 07:46:05,"-56,3359985351562"
17/04/2017 07:46:29,"-55,7680015563965"
17/04/2017 07:46:59,"-56,0979995727539"
17/04/2017 07:47:23,"-55,5540008544922"
17/04/2017 07:47:53,"-55,8769989013672"
17/04/2017 07:48:17,"-55,3330001831055"
17/04/2017 07:48:47,"-55,6599998474121"
17/04/2017 07:49:11,"-55,101001739502"
17/04/2017 07:49:41,"-55,4420013427734"
17/04/2017 07:50:05,"-54,8489990234375"
17/04/2017 07:50:35,"-55,2099990844727"
17/04/2017 07:50:59,"-54,6290016174316"
17/04/2017 07:51:29,"-54,9830017089844"
17/04/2017 07:51:53,"-54,4039993286133"
17/04/2017 07:52:23,"-54,7630004882813"
17/04/2017 07:52:47,"-54,173999786377"
17/04/2017 07:53:17,"-54,5260009765625"
17/04/2017 07:53:41,"-53,9280014038086"
17/04/2017 07:54:11,"-54,2999992370605"
17/04/2017 07:54:41,"-53,6870002746582"
17/04/2017 07:55:05,"-54,0550003051758"
17/04/2017 07:56:05,"-53,398998260498"
17/04/2017 07:56:29,"-53,2360000610352"
17/04/2017 07:56:59,"-53,5919990539551"
17/04/2017 07:57:23,"-52,9710006713867"
17/04/2017 07:57:53,"-53,3549995422363"
17/04/2017 07:58:17,"-52,7270011901855"
17/04/2017 07:58:47,"-53,1370010375977"
17/04/2017 07:59:11,"-52,5060005187988"
17/04/2017 07:59:41,"-52,9029998779297"
17/04/2017 08:00:05,"-52,2779998779297"
17/04/2017 08:00:35,"-52,6780014038086"
17/04/2017 08:00:59,"-52,0499992370606"
17/04/2017 08:01:29,"-52,435001373291"
